م,E,N,نوع الحادث,جسامة الحادث,عدد المصابين
4110,21.3846156,39.7953357,دهس مشاه,اصابة,null
4109,21.367153,39.8747841,دهس مشاه,اصابة,null
4108,21.20415,39.58345,صدم مركبة متحركة,وفاة,null
4107,22.69576,39.292351,انقلاب مركبة,اصابة,null
4106,20.832838,40.11639,انقلاب مركبة,اصابة,null
4105,20.832838,40.11639,صدم مركبة متحركة,اصابة,null
4104,21.4794729,40.255413,دهس مشاه,اصابة,null
4103,21.492222,39.942012,دهس مشاه,اصابة,null
4102,21.5885,39.42145,دهس مشاه,اصابة,null
4101,21.389164,39.846024,دهس مشاه,اصابة,null
4100,21.283979,39.822933,صدم مركبة متحركة,اصابة,null
4099,21.356169,39.856548,صدم مركبة متحركة,اصابة,null
4098,19.196648,41.769474,صدم مركبة متحركة,اصابة,null
4097,21.508404,39.792286,دهس مشاه,وفاة,null
4096,21.402719,39.792393,انقلاب مركبة,وفاة,null
4095,18.863474,41.328541,صدم مركبة متحركة,اصابة,null
4094,20.232742,40.23315,صدم عمود كهرباء,اصابة,null
4093,21.345894,39.935127,صدم مركبة متحركة,اصابة,null
4092,21.43411,39.3428,صدم مركبة متحركة,وفاة,null
4091,21.4261062,39.820968,دهس مشاه,وفاة,null
4090,21.01111,39.59272,صدم مركبة متحركة,وفاة,null
4089,22.437906,39.421021,انقلاب مركبة,اصابة,null
4088,19.1420278,41.568861,صدم مركبة متحركة,اصابة,null
4087,20.228223,40.257648,صدم سياج طريق,اصابة,null
4086,21.366034,39.157982,صدم مركبة متحركة,اصابة,null
4085,21.2962219,39.9681055,صدم مركبة متحركة,وفاة,null
4084,18.765836,41.405673,صدم مركبة متحركة,وفاة,null
4083,19.226337,41.784927,انقلاب مركبة,اصابة,null
4082,19.538011,41.672784,صدم مركبة متحركة,اصابة,null
4081,21.64361,40.102592,صدم مركبة متحركة,اصابة,null
4080,21.3554672,40.2116531,صدم مركبة متحركة,اصابة,null
4079,39.4946,40.02219,صدم جسم ثابت اخر,اصابة,null
4078,19.14218,41.47392,دهس مشاه,اصابة,null
4077,21.4460717,39.8671991,صدم مركبة متحركة,اصابة,null
4076,21.5711744,39.2003584,صدم مركبة متحركة,اصابة,null
4075,20.434267,40.817923,انقلاب مركبة,اصابة,null
4074,20.069745,40.451267,صدم مركبة متحركة,اصابة,null
4073,18.749144,41.402531,صدم عمود كهرباء,وفاة,null
4072,21.5167801,39.6299108,صدم حاجز جانبي,وفاة,null
4071,21.361021,39.802269,صدم مركبة متحركة,وفاة,null
4070,21.3802,39.42175,صدم مركبة متحركة,وفاة,null
4069,21.4557,39.3697,صدم مركبة متحركة,اصابة,null
4068,21.433054,39.799534,صدم مركبة متحركة,اصابة,null
4067,21.4220101,39.8494606,صدم مركبة متحركة,اصابة,null
4066,21.343878,39.72226,صدم جسم ثابت اخر,اصابة,null
4065,21.483505,39.937447,دهس مشاه,وفاة,null
4064,21.376638,39.791054,دهس مشاه,وفاة,null
4063,21.5711744,39.1872512,صدم مركبة متحركة,وفاة,null
4062,21.381704,39.806446,دهس مشاه,اصابة,null
4061,22.84394,39.33626,صدم مركبة متحركة,اصابة,null
4060,19.632777,41.608277,صدم مركبة متحركة,اصابة,null
4059,21.512733,39.7800608,دهس مشاه,اصابة,null
4058,21.4868329,39.8974705,صدم جسم ثابت اخر,وفاة,null
4057,21.653801,40.015255,انقلاب مركبة,اصابة,null
4056,21.367058,39.768768,صدم مركبة متحركة,اصابة,null
4055,20.319507,40.465305,صدم مركبة متحركة,اصابة,null
4054,21.462812,39.954414,دهس مشاه,وفاة,null
4053,22.3236111,39.8063889,انقلاب مركبة,اصابة,null
4052,19.245185,41.367473,صدم جمل,اصابة,null
4051,21.403669,39.817196,دهس مشاه,اصابة,null
4050,21.59482,40.54,انقلاب مركبة,وفاة,null
4049,22.20069,39.9825,انقلاب مركبة,اصابة,null
4048,21.264071,39.959404,دهس مشاه,اصابة,null
